Date,Open,High,Low,Close,Volume,NASDAQ,Change
25-05-2016,24.6675,24.934999,24.5275,24.905001,152675200,4476.430176,0.430001
26-05-2016,24.92,25.182501,24.66,25.102501,225324800,4487.959961,0.1975
27-05-2016,24.860001,25.1175,24.8125,25.0875,145364800,4512.540039,-0.015001
31-05-2016,24.9,25.1,24.705,24.965,169228800,4523.890137,-0.1225
01-06-2016,24.754999,24.885,24.5825,24.615,116693200,4520.069824,-0.35
02-06-2016,24.4,24.459999,24.157499,24.43,160766400,4531.350098,-0.185
03-06-2016,24.4475,24.567499,24.362499,24.48,114019600,4509.790039,0.05
06-06-2016,24.497499,25.4725,24.387501,24.657499,93170000,4523.629883,0.177499
07-06-2016,24.8125,24.967501,24.74,24.7575,89638000,4513.089844,0.100001
08-06-2016,24.754999,24.889999,24.67,24.735001,83392400,4520.629883,-0.022499
09-06-2016,24.625,24.997499,24.615,24.9125,106405600,4512.689941,0.177499
10-06-2016,24.6325,24.8375,24.620001,24.7075,126851600,4461.049805,-0.205
13-06-2016,24.672501,24.780001,24.275,24.334999,152082000,4422.759766,-0.372501
14-06-2016,24.33,24.620001,24.1875,24.365,127727600,4424.910156,0.030001
15-06-2016,24.455,24.602501,24.2575,24.285,117780800,4409.509766,-0.08
16-06-2016,24.112499,24.4375,24.0175,24.387501,125307200,4424.22998,0.102501
17-06-2016,24.155001,24.1625,23.825001,23.8325,244032800,4374.379883,-0.555001
20-06-2016,24,24.1425,23.7575,23.775,137647600,4400.160156,-0.0575
21-06-2016,23.735001,24.0875,23.67,23.977501,142185600,4413.399902,0.202501
